"Time (UTC)","Google (Search)","Telescope (# Unique Source IPs)","BGP (#Visible /24s)","Active Probing (#/24s Up)","Mozilla (City Count)"
"2026-01-31 08:00:00",79.86220522505776,34.93259551421676,99.40454261504702,95.52260638297871,90.2439024390244
"2026-01-31 09:00:00",78.86878707553386,32.93106493200683,99.38031586871907,95.49468085106382,85.36585365853658
"2026-01-31 10:00:00",86.08716598504122,27.32089244716548,99.40334128878283,95.72340425531914,80.48780487804879
"2026-01-31 11:00:00",87.04380785150857,25.395890975451817,99.40554372026718,95.76329787234043,78.04878048780488
"2026-01-31 12:00:00",83.95967331689008,22.399481956790485,99.4001377520783,95.34840425531915,80.48780487804879
"2026-01-31 13:00:00",74.65910330070302,22.46423735797963,99.37370857426599,95.50797872340425,78.04878048780488
"2026-01-31 14:00:00",71.96389953041789,21.021957967857773,99.36249619580018,95.80452127659575,80.48780487804879
"2026-01-31 15:00:00",75.09591937914311,20.57455701418732,99.35949288013968,96.2845744680851,78.04878048780488
"2026-01-31 16:00:00",76.22783657494047,19.35009124624713,99.36129486953598,95.96808510638297,75.60975609756098
"2026-01-31 17:00:00",78.86519059485266,18.561252722670275,99.35809133283145,95.76196808510637,75.60975609756098
"2026-01-31 18:00:00",82.45625423222779,17.31323953611585,99.35288558568661,95.33377659574468,73.17073170731707
"2026-01-31 19:00:00",85.85690765994417,16.618590686995937,99.35368646986272,95.36170212765957,68.29268292682927
"2026-01-31 20:00:00",78.982571879376,15.865073291340437,99.34808028062983,95.30984042553192,60.97560975609756
"2026-01-31 21:00:00",63.56641312606711,15.747336198269265,99.35048293315822,95.38696808510637,53.65853658536586
"2026-01-31 22:00:00",43.18004072431535,15.882733855301112,99.34727939645369,95.25797872340425,24.390243902439025
"2026-01-31 23:00:00",27.636896742032558,14.257961970918936,99.35268536464257,95.3656914893617,17.073170731707318
"2026-02-01 00:00:00",18.281411618021394,13.492670865956319,99.34968204898207,95.00265957446808,17.073170731707318
"2026-02-01 01:00:00",13.946939897224206,14.946723965385294,99.34247409139691,94.57180851063829,17.073170731707318
"2026-02-01 02:00:00",14.53326172203339,15.070347913110025,99.34407585974915,94.55186170212767,17.073170731707318
"2026-02-01 03:00:00",23.71905807708608,16.55383528580679,99.35608912239113,94.15425531914893,43.90243902439025
"2026-02-01 04:00:00",38.50822401915292,28.610113616294814,99.36569973250468,94.42553191489361,82.92682926829268
"2026-02-01 05:00:00",55.69067492328663,32.801554129628535,99.36830260607712,94.96143617021276,95.1219512195122
"2026-02-01 06:00:00",66.66334999040255,27.01477600518043,99.36469862728453,95.53590425531915,95.1219512195122
"2026-02-01 07:00:00",74.70013356831707,30.976629187025374,99.36690105876889,95.78191489361701,95.1219512195122
"2026-02-01 08:00:00",76.58912470153697,28.922116912933422,99.32925950249076,96.00132978723404,82.92682926829268
"2026-02-01 09:00:00",75.21905830239346,27.721198563607462,99.22774743316623,95.68617021276596,85.36585365853658
"2026-02-01 10:00:00",83.13204064760954,24.3598045564255,99.29221860934473,96.07313829787233,80.48780487804879
